起点     -  终点     交通工具 车次 出发时刻（时） 到达时刻（时） 用时（时） 费用（元） 距离（千米）
大连     -  北京     火车     H101    3              12           9           372        938
北京     -  呼和浩特 火车     H101    13             19           6           205        659
呼和浩特 -  兰州     火车     H101    20	      6		 10 	      404	1144
兰州     -  乌鲁木齐 火车     H101    7               0          17           502       1892

乌鲁木齐 -  兰州     火车     H102    6               5          23           502       1892
兰州     -  呼和浩特 火车     H102    6              16          10 	      404	1144
呼和浩特 -  北京     火车     H102    17             23           6           205        659
北京     -  大连     火车     H102     0              9           9           372        938

大连     -  北京     火车     H103    15              0           9           372        938
北京     -  呼和浩特 火车     H103     1              7           6           205        659
呼和浩特 -  兰州     火车     H103     8	     18		 10 	      404	1144
兰州     -  乌鲁木齐 火车     H103    19             12          17           502       1892

乌鲁木齐 -  兰州     火车     H104    18             17          23           502       1892
兰州     -  呼和浩特 火车     H104    18              4          10 	      404	1144
呼和浩特 -  北京     火车     H104    5	             11           6           205        659
北京     -  大连     火车     H104    12             21           9           372        938

青岛     -  郑州     火车     H201     5             16          11           372       1061
郑州     -  西安     火车     H201    17              2           9           154        511
西安     -  成都     火车     H201     3             13          10           345        842

成都     -  西安     火车     H202    17              3          10           345        842
西安     -  郑州     火车     H202     4             13           9           154        511
郑州     -  青岛     火车     H202    14              1          11           372       1061

青岛     -  郑州     火车     H203    17              4          11           372       1061
郑州     -  西安     火车     H203     5             14           9           154        511
西安     -  成都     火车     H203    15              1          10           345        842

成都     -  西安     火车     H204     5             15          10           345        842
西安     -  郑州     火车     H204    16              1           9           154        511
郑州     -  青岛     火车     H204     2             13          11           372       1061

上海     -  郑州     火车     H301     9             17           8           391        998
郑州     -  西安     火车     H301    18              3           9           154        511
西安     -  成都     火车     H301     4             14          10           345        842
成都     -  拉萨     火车     H301    15             22          31           768       3060

拉萨     -  成都     火车     H302     6             13          31           768       3060
成都     -  西安     火车     H302    14              0          10           345        842
西安     -  郑州     火车     H302     1             10           9           154        511
郑州     -  上海     火车     H302    11             19           8           391        998

上海     -  郑州     火车     H303    20              4           8           391        998
郑州     -  西安     火车     H303     5             14           9           154        511
西安     -  成都     火车     H303    15              1          10           345        842
成都     -  拉萨     火车     H303     2              9          31           768       3060

拉萨     -  成都     火车     H304    18              1          31           768       3060
成都     -  西安     火车     H304     2             12          10           345        842
西安     -  郑州     火车     H304    13             22           9           154        511
郑州     -  上海     火车     H304    23              7           8           391        998

上海     -  武汉     火车     H401    13             18           5           343        811
武汉     -  重庆     火车     H401    19              3           8           312       1289
重庆     -  成都     火车     H401     4              7           3           116        504

成都     -  重庆     火车     H402    18             21           3           116        504
重庆     -  武汉     火车     H402    22              6           8           312       1289
武汉     -  上海     火车     H402     7             12           5           343        811

上海     -  武汉     火车     H403    18             23           5           343        811
武汉     -  重庆     火车     H403     0              8           8           312       1289
重庆     -  成都     火车     H403     9             12           3           116        504

成都     -  重庆     火车     H404    13             16           3           116        504
重庆     -  武汉     火车     H404    17              1           8           312       1289
武汉     -  上海     火车     H404     2              7           5           343        811

上海     -  长沙     火车     H501    17              3          10           398       1173
长沙     -  昆明     火车     H501     4             21          17           504       1625

昆明     -  长沙     火车     H502    10              3          17           504       1625
长沙     -  上海     火车     H502     4             14          10           398       1173

上海     -  长沙     火车     H503    20              6          10           398       1173
长沙     -  昆明     火车     H503     7              0          17           504       1625

昆明     -  长沙     火车     H504    17             10          17           504       1625
长沙     -  上海     火车     H504    11             21          10           398       1173

青岛     -  郑州     火车     H601     8             19          11           372       1061
郑州     -  西安     火车     H601    20              5           9           154        511
西安     -  兰州     火车     H601     6             12           6           277        676
兰州     -  乌鲁木齐 火车     H601    13              6          17           502       1892

乌鲁木齐 -  兰州     火车     H602    16              9          17           502       1892
兰州     -  西安     火车     H602    10             16           6           277        676
西安     -  郑州     火车     H602    17              2           9           154        511
郑州     -  青岛     火车     H602     3             14          11           372       1061

青岛     -  郑州     火车     H603    20              7          11           372       1061
郑州     -  西安     火车     H603     8             17           9           154        511
西安     -  兰州     火车     H603    18              0           6           277        676
兰州     -  乌鲁木齐 火车     H603     1             18          17           502       1892

乌鲁木齐 -  兰州     火车     H604    10              3          17           502       1892
兰州     -  西安     火车     H604     4             10           6           277        676
西安     -  郑州     火车     H604    11             20           9           154        511
郑州     -  青岛     火车     H604    21              8          11           372       1061

大连     -  北京     火车     H701     6             15           9           372        938
北京     -  兰州     火车     H701    16              8          16           464       1803
兰州     -  乌鲁木齐 火车     H701     9              2          17           502       1892

乌鲁木齐 -  兰州     火车     H702     6             23          17           502       1892
兰州     -  北京     火车     H702     0             16          16           464       1803
北京     -  大连     火车     H702    17              2           9           372        938

大连     -  北京     火车     H703    16              1           9           372        938
北京     -  兰州     火车     H703     2             18          16           464       1803
兰州     -  乌鲁木齐 火车     H703    19             12          17           502       1892

乌鲁木齐 -  兰州     火车     H704    20             13          17           502       1892
兰州     -  北京     火车     H704    14              6          16           464       1803
北京     -  大连     火车     H704     7             16           9           372        938

青岛     -  上海     火车     V101    10             17           7           418        800
上海     -  深圳     火车     V101    18             16          10           413       1680

深圳     -  上海     火车     V102    17              3          10           413       1680
上海     -  青岛     火车     V102     4             11           7           418        800

青岛     -  上海     火车     V103    19              2           7           418        800
上海     -  深圳     火车     V103     3             13          10           413       1680

深圳     -  上海     火车     V104    21              7          10           413       1680
上海     -  青岛     火车     V104     8             15           7           418        800

北京     -  郑州     火车     V201    14             20           6           251        695
郑州     -  武汉     火车     V201    21              1           4           205        514
武汉     -  长沙     火车     V201     2              4           2           152        413
长沙     -  深圳     火车     V201     5             11           6           304        864

深圳     -  长沙     火车     V202    20              2           6           304        864
长沙     -  武汉     火车     V202     3              5           2           152        413
武汉     -  郑州     火车     V202     6             10           4           205        514
